Name,Description,Founded,Business Model,Employees,Funding Stage,Total Raised,Tags
Rupert.,Rupert. GenAI signal-to-playbook solution,2020,B2B,11-50,Seed,$8M,", , , , , , , , , business-intelligence, business-processes"
Rural Senses,Rural Senses Customer-centric Data Platform,2018,B2B,11-50,Pre-Funding,Undisclosed,", , , software-applications, machine-learning"
Sabres Security,Sabres Security Protection for Open-source CMS Applications,2015,"B2B, B2B2C, B2G",1-10,Seed,Undisclosed,", , , , , , , behavior-analytics, enterprise-solutions"
Safebooks AI,Safebooks AI Business Data Governance Platform,2023,B2B,11-50,Pre-Funding,Undisclosed,"artificial-intelligence, machine-learning, erp"
Safeguard Applied Innovation,Safeguard Applied Innovation Safety Management Platform for the Construction Industry,2011,B2B,11-50,A,$8M,", , , , , machine-learning, artificial-intelligence"
SafeMode Mobility,SafeMode Mobility Incentive Platform for the Transportation Industry,2017,B2B,11-50,Seed,$325K,", , , , , , , , , , , , , , , , enterprise-solutions, user-experience, hr-tech"
Saffron Tech,Saffron Tech Novel Method for Growing and Cultivating Saffron,2020,"B2B, B2C, B2G",11-50,Seed,$3.46M,", , , , , foodtech, artificial-intelligence, crops"
SAIPS,SAIPS ACQUIRED Customized Algorithmic Solutions in Computer Vision and Machine Learning,2013,"B2B, B2G",11-50,Acquired,Undisclosed,", , , , , , , , , , automotive, autonomous-vehicles"
SAM Seamless Network,SAM Seamless Network Cybersecurity Solution for Home and Small Business Networks,2016,"B2B, B2B2C",51-200,B,$36M,", , , , , , , , , , , , , , , , , , , , , , , , service-providers, endpoint-security"
Samulight,Samulight Pesticides and Depreciation Reduction,2023,B2B,1-10,Pre-Funding,Undisclosed,", pest-management, agtech, crops"
Samurai,Samurai Backtesting Algorithm SaaS for Big Data,2016,B2B,1-10,Seed,$120K,", , , , , , big-data, trading-and-investing, trading"
SANDRA,SANDRA Helping to Breathe Right,2022,B2C,11-50,Pre-Funding,Undisclosed,", , , , mental-health, artificial-intelligence"
Sanolla,"Sanolla Cardiopulmonary Diagnosis, Monitoring, and Screening",2016,"B2B, B2B2C",11-50,Seed,$11M,", , , , , , , , , , , , digital-healthcare, early-detection"
Sauce,Sauce Direct Web and Social Media Ordering Platform for Restaurants,2015,B2B,51-200,Seed,Undisclosed,", , , , , , , , , , , , mobile-applications, customer-loyalty, saas"
Save A Train,Save A Train Rail Travel Software,2016,"B2B, B2B2C, B2G",1-10,Seed,$0,", , , , , , , , , , , , , traveltech, smart-mobility"
Say=Do Technology,Say=Do Technology Internal Relationship Management Platform,2021,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , enterprise-solutions, artificial-intelligence"
Sayata,Sayata Commercial Risk Platform for Insurance Brokers and Carriers,2016,B2B,51-200,A,$59M,", , , , software-applications, risk-assesments"
Scopio Labs,Scopio Labs Computational Microscopy for Blood Diagnostics,2014,B2B,51-200,D,$115.36M,", , , , , , , , , , , , , , , , , , , , hardware, veterinary, imaging"
ScoutX,ScoutX Crop Monitoring Platform for Vineyards,2021,B2B,1-10,Seed,$850K,", artificial-intelligence, precision-agriculture, agriculture"
ScrubChart.AI,ScrubChart.AI Optimizing Patient Length of Stay and Hospital Capacity,2017,B2B,11-50,Pre-Funding,Undisclosed,", , , , , , , , , , , , , monitoring, decision-support"
SeaErra,SeaErra AI-based Underwater Imaging Technology,2018,"B2B, B2C, B2G",1-10,Seed,$0,", , , , , , , , , , , , , , , , oil-and-gas-companies, climate-tech"
Seamless Vision,Seamless Vision Robotics Navigation and Operations Management Technology,2017,B2B,1-10,Seed,$3.6M,", , , , , , , , , , , , , , , , , robotics, autonomous-vehicles"
Second Nature AI,Second Nature AI Personal AI Coaching Platform for Sales Representatives,2018,B2B,11-50,A,$15.5M,", , , data-analytics, business-processes"
Second Voice,Second Voice AI-driven Business Communication Software,2020,B2B,1-10,Pre-Funding,Undisclosed,", , enterprise-solutions, natural-language-processing"
SecuriThings,"SecuriThings Risk Detection, Predictive Maintenance, and Automated Operations for IoT Devices",2016,"B2B, B2G",51-200,B,$39M,", , , , , , , , , , , , , , , , enterprises, endpoint-security"
Sedric,Sedric Risk and Compliance Platform for FinTech Companies,2020,B2B,11-50,A,$22M,", , artificial-intelligence, software-applications"
SeeAll,SeeAll SaaS Solution to Monitor Materials in the Production Line,2020,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , materials, artificial-intelligence"
Seed-X,Seed-X Machine Vision and AI Algorithms for Seed Sorting,2017,B2B,11-50,A,$10M,", , , , , , , , , , , seeds, predictive-analytics"
Seedwiz,Seedwiz Geographical Information System and AI Platform for Seed Selection and Trading,2015,B2B,1-10,Pre-Funding,$0,", , , , , , , , , , , , artificial-intelligence, predictive-analytics"
Seenity,Seenity AI-based Business Management Platform,2020,B2B,11-50,Seed,Undisclosed,", , , , , natural-language-processing, risk-assesments"
Segmanta,Segmanta Market Research Platform,2013,B2B,11-50,Mature,$500K,", , , , , , , , , enterprise-solutions, customer-engagement, saas"
SeismicAI,SeismicAI Earthquake and Tsunami Early-warning Systems,2016,"B2B, B2G",11-50,Seed,$2M,", , , , , , artificial-intelligence, manufacturing-facilities, sensors"
Selectika,Selectika Visual AI and Personalization System for Online Retailers,2020,"B2B, B2B2C",11-50,Pre-Seed,$500K,", , , , , , , , , retail, fashion, machine-learning"
Selfit Medical,Selfit Medical Digital Robotic Care for the Aging Market,2017,"B2B, B2B2C",1-10,Seed,$2M,", , , , , , , , , , , , , , , , , , , , , , diagnostics, robotics, cardiology"
SelfMan,SelfMan AI-based SaaS platform of product sourcing for Marketplaces,2024,B2B,1-10,Pre-Funding,Undisclosed,", , marketplace, ecommerce, saas"
Seller Snap,Seller Snap AI-based Amazon Repricer,2016,"B2B, B2C",11-50,Pre-Funding,Undisclosed,", , , , , , , ecommerce, data-analytics"
SEM1NAL,SEM1NAL AI-powered Text Analysis and Content Optimization Technology,2019,"B2B, B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , software-applications, management-solutions"
Sency,Sency Motion Analysis Technology Platform,2019,"B2B, B2C",11-50,Seed,$6.3M,", , , , , , , athletes, personalization"
Senecio Robotics,Senecio Robotics Solutions for Fighting Disease-spreading Mosquitoes,2013,"B2B, B2G",11-50,Seed,$12M,", , , , , , , , , , automation, deep-learning"
Sensai Networks,Sensai Networks AI-powered Automated Data Center Performance Monitoring,2017,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , artificial-intelligence, machine-learning"
SENSE,SENSE Data-mining Software,2014,"B2B, B2B2C, B2G",1-10,Mature,$890K,", , , , , , , , , , , , , , , , , , , , , , , , , , defense, data-visualization"
Sense Education,Sense Education Open-ended Assignment Feedback,2016,B2B,11-50,Seed,$1.25M,", , , , , , , , student-assessment, higher-education, e-learning"
SENSEER,SENSEER Operational Readiness Solution for Defense and Aerospace,2018,"B2B, B2G",11-50,Pre-Funding,Undisclosed,", , , , aerospace, defense, industry-4.0"
SenseIT,SenseIT SaaS-based Automatic Tool for Functional Testing of Web Accessibility,2018,"B2B, B2G",11-50,Pre-Seed,$120K,", , , , , , , , , , , , , , , , , ci-cd, web-development, automation"
Sensole Orthotics,Sensole Orthotics AI Technology for Orthotic Insole Comfort,2024,B2B,1-10,Pre-Funding,Undisclosed,"wellness, artificial-intelligence, orthopedics"
SenSwim,SenSwim Visual Workout Solution for Swimmers,2016,B2B,1-10,Seed,$600K,", , , , , , , , training, saas, monitoring, optronics"
Sentient Synthetics,Sentient Synthetics AI-based Digital Pathology Solutions,2021,B2B,1-10,Pre-Seed,$250K,", , , , , , , artificial-intelligence, digital-healthcare, cancer"
Sequel.Care,Sequel.Care Mental Healthcare,2020,B2B,11-50,Pre-Seed,$2.85M,", , , , , , , , , , , , , , , , , , , , telehealth, pharma-companies"
Serendi Systems,Serendi Systems OCR and Handwriting Recognition Solutions,2016,B2C,1-10,Pre-Funding,Undisclosed,", , , , signal-processing, artificial-intelligence"
Serenus.AI,"Serenus.AI Generative AI technologies for medical treatments pathways, while prioritzing patients' waiting lists",2017,B2B,1-10,Seed,$2.7M,", , , , , , , , , , , , cloud-based, decision-support"
SerVision,SerVision ACQUIRED Video Recording and Transmission Systems,2000,"B2B, B2G",11-50,Acquired,$2.7M,", , , , , , , , , , , , , , video, connected-vehicles"
Shamir Optical Industry,Shamir Optical Industry ACQUIRED Progressive Lenses for the Ophthalmic Industry,1972,B2B,500+,Acquired,Undisclosed,", , , , , , , , , , , , , , , plastics, sports, optronics"
ShanenLi,ShanenLi Speech Recognition Technology for Literacy,2019,"B2B, B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , schools, edtech, k-12"
Sharkbiit,Sharkbiit AI-powered discovery and state-of-the-art treatment of Obstructive Sleep Apnea,2022,B2B,1-10,Pre-Seed,$100K,", , , , , , , , , , , , , , , , , , , , digital-healthcare, medical-device-manufacturers"
Shekel Brainweigh,Shekel Brainweigh PUBLIC Mobile Retail Technologies,1971,B2B,1-10,Public,$7.24M,", , , , , , , , , , , quality-assurance, deep-learning"
Shekel Scales,Shekel Scales High-precision Weighing Solutions for Retail and Medical Industries,,"B2B, B2B2C",51-200,Mature,Undisclosed,", , , , , , , , , , , , , oem, artificial-intelligence, airports"
Shield.,Shield. Electronic Communications Compliance Platform,2018,B2B,51-200,B,$35M,", , , , , , , , machine-learning, artificial-intelligence, regulation"
ShieldIOT,ShieldIOT IoT Security,2017,B2B,11-50,A,$11M,", , , , , , , , , , , , , , retail, smart-mobility"
Shuffll,Shuffll Creation Platform and Marketplace,2021,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , social-platform, content-distribution, enterprises"
SIGA,SIGA SCADA Cybersecurity and Anomaly Detection,2014,B2B,11-50,B,$11.6M,", , , , , , , , , , , , , manufacturing-facilities, ot-cyber, mining"
Sight Diagnostics,Sight Diagnostics Advanced Blood Diagnostics Platform,2010,B2B,51-200,D,$123.8M,", , , , , , , , , , , , , , , , , , , , clinics, laboratories"
SightBit,SightBit Real-Time Water Security and Environmental Monitoring,2019,"B2B, B2G",11-50,Seed,$3M,", , , , , , , computer-vision, public-safety"
Sightec,Sightec Visual Situation Awareness System for Autonomous Flights,2017,"B2B, B2G",11-50,Seed,$7.3M,", , , , , , , , , , , , , , , , , , smart-mobility, optronics, security"
SightX AI,SightX AI Computer Vision Technologies,2020,"B2B, B2G",11-50,Pre-Funding,Undisclosed,", , , , aerospace, homeland-security"
SIGN - Sustainable Innovation Growth Network,SIGN - Sustainable Innovation Growth Network Secure Proprietary Information Collaboration Platform,2021,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , machine-learning, natural-language-processing"
Silk Technologies,Silk Technologies Cloud Data Platform,2008,"B2B, B2G",201-500,B,$254.5M,", , , , , artificial-intelligence, machine-learning"
Similari,Similari AI-based Innovation Intelligence Service,2018,B2B,11-50,Seed,$1.4M,", , , , , , , , , search-engine, actionable-insights"
Simplex,Simplex ACQUIRED Fraud Prevention in Online Payments,2014,B2B,201-500,Acquired,$8.4M,", , , , , , , , , , , , , , retailers, digital-wallet"
Sinornis,Sinornis Management Tool for Poultry Farming,2023,B2B,1-10,Pre-Funding,Undisclosed,", , , poultry, farm-management"
Siraj Technologies,Siraj Technologies IIoT Connectivity Solutions,2016,B2B,11-50,Pre-Funding,Undisclosed,", , , , , , industry-4.0, connectivity"
Sisense,Sisense AI-driven Platform for Infused Analytics,2004,"B2B, B2G",500+,F,$275.5M,", , , , , , , , , , , , , , , , , , , , government, supply-chain, traveltech"
SITE123,SITE123 Website Builder,2015,"B2B, B2C",11-50,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , management-solutions, social-media"
SiteAware,SiteAware Digital Verification Platform for Construction Projects,2015,B2B,11-50,B,$26.5M,", , , , , , , , , , , , , , , , , artificial-intelligence, real-estate, proptech"
Sivan Innovation,Sivan Innovation Cancer Monitoring and Management Platform,2014,"B2B, B2B2C",11-50,Mature,Undisclosed,", , , , , , , , , , , , , , , early-detection, chronic-patients"
Sizer,Sizer Online Shopping Size and Fit App,2012,B2B2C,1-10,Mature,Undisclosed,", , , , , , , , , , , , , , saas, retailers, measurements"
Skeep,Skeep eCommerce Experience Platform,2019,"B2B, B2B2C",1-10,Seed,$3M,", , , , , , , retail, consumer-goods"
Skelable,Skelable Wearable Device for Rehabilitation,2018,B2B2C,1-10,Seed,$1.34M,", , , , , , , , , , , , , , , , , , , , , , , wearable, rehabilitation, patients"
Skillinn,Skillinn AI-powered and Skill-driven Online Recruiting Platform,2017,"B2B, B2C",1-10,Pre-Seed,Undisclosed,", , , , , recruitment, hr, hr-tech"
SkillsX.ai,SkillsX.ai Crafting Skills based Learning with Human-Tech Guidance,2020,"B2B, B2B2C, B2G",1-10,Pre-Seed,$0,", , , , , schools, artificial-intelligence"
Skyline AI,Skyline AI ACQUIRED AI Real Estate Investment Platform,2014,"B2B, B2B2C",11-50,Acquired,$25M,", , , , , , , , , , , , fintech, artificial-intelligence"
Skyline Robotics,Skyline Robotics Automated Window Cleaning,2017,B2B,11-50,A,$19.34M,", , , , , , , artificial-intelligence, construction"
Snapify,Snapify AI-powered Photo Editor,2023,"B2B, B2C",1-10,Seed,$3M,", , , artificial-intelligence, photo-sharing"
snapland,snapland Helping Real Estate Companies Find Hidden Opportunities,2018,B2B,11-50,Pre-Seed,$250K,", , , , , search-engine, gis, fintech"
SnatchBot,SnatchBot Bot-building Platform for Enterprises,2015,"B2B, B2C, B2G",11-50,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , , , , legaltech, enterprise-solutions"
SNOWLESS,SNOWLESS Climate-resilient Infrastructure,2018,"B2B, B2G",1-10,Pre-Funding,$0,", , , , , , , , , , , , , , artificial-intelligence, airports, logistics"
Sodipass,Sodipass Multi-factor Identity Authentication Solution,2016,"B2B, B2G",1-10,Pre-Funding,$0,", , , , , , , , financial-institutions, cyber-security"
Soli,Soli Women's Safety App,2019,"B2B, B2C, B2G",11-50,Seed,Undisclosed,", , , , , , women, safety, smart-city"
Solidus Labs,Solidus Labs Manipulation Detection for the Cryptocurrency Market,2017,B2B,51-200,B,$68.5M,", , , , , , , cryptocurrency, threat-intelligence"
Solo,Solo Using Emotion-based Data for Increased Engagement,2018,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , big-data-analytics, digital-healthcare, wellness"
Soly Emotional Health,Soly Emotional Health AI & Community Supporting Post Trauma Recovery,2021,"B2B, B2C, B2G",1-10,Pre-Funding,Undisclosed,", , , , , emotions-analytics, self-improvement"
Somatix,Somatix Remote Patient-monitoring Software Solution,2015,B2B,11-50,A,$13.7M,", , , , , , , , , , , , , , , , , , , , , , , hospitals, rehabilitation"
Somite.ai,Somite.ai AI-based Platform to Produce Human Tissue for Cell-based Therapies,2023,B2C,11-50,Seed,$10M,"artificial-intelligence, cell-therapy, stem-cells"
SOSense,SOSense Drowning Alert System for Private and Public Pools,2016,"B2B, B2C",1-10,A,$5.5M,", , , safety, machine-learning, sensors"
Sosivio,Sosivio AI-based Observability Platform for Kubernetes Environments,2020,B2B,1-10,Seed,$4M,", , , , , artificial-intelligence, software-applications"
SoulMedX,SoulMedX Oral Drug Dosage Precision,2018,"B2B2C, B2C",1-10,Pre-Funding,Undisclosed,", , , , behavior-analytics, digital-healthcare"
Source Defense,Source Defense Third-party Attack Protection for Websites,2014,B2B,11-50,B,$48.6M,", , , , , , , , , , , , , , , , , retailers, client-side-security"
SOURCIX,SOURCIX AI-Powered Procurement Solutions for Custom Mechanical Items,2024,B2B,1-10,Seed,$0,", , , , , price-comparison, artificial-intelligence"
SparkBeyond,SparkBeyond AI-powered Problem-solving Platform,2013,B2B,51-200,Mature,$0,", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , decision-support, commercial-sites"
Spartans AI,Spartans AI AI-powered Enterprise Solutions,2017,B2B,11-50,Pre-Funding,Undisclosed,", , , , financial-institutions, enterprise-solutions, ar/vr"
SparX,SparX Real Estate Visualization Platform Using AR and AI Design,2020,"B2B, B2B2C",11-50,Seed,$4M,", , proptech, real-estate, marketing"
SPEAK,SPEAK On-demand Live Language Lessons,2017,"B2B, B2C",11-50,Seed,Undisclosed,", , , , , , , , , , , , , , , , , , hr-tech, personalization, enterprises"
SpeakingPal,SpeakingPal AI-powered Speech Tutor for English Language Learning,2009,"B2B, B2B2C, B2C",1-10,Mature,$2.76M,", , , , , , , , , , , , , , , web-platform, edutainment"
SPECTALIX,SPECTALIX User-Generated-Content Platform,2017,B2B2C,1-10,Seed,$2.9M,", , , , , , , , , , , , , sdk, customer-engagement"
SpeedSize,SpeedSize AI-based Media Compression,2019,B2B,11-50,Seed,$3M,", , software-applications, website-owners"
Spetz,Spetz Mobile App for Locating Service Providers,2002,B2C,11-50,Mature,$200K,", , , , , , , , mobile-applications, marketplace"
Spicerr,Spicerr AI-powered Spice Dispenser,2019,"B2B, B2C",11-50,Seed,$0,", , , , , , , nutrition, food-ingredients"
Spinframe Technologies,Spinframe Technologies Large-scale Vehicle Monitoring Solution,2017,B2B,11-50,Seed,$9M,", , , , , , , , , , , , , digital-twin, machine-learning"
Spot,Spot ACQUIRED Cloud Optimization Platform,2015,B2B,201-500,Acquired,$52.6M,", , , , , , , , , , , data-migration, enterprise-solutions"
SpotitEarly,SpotitEarly Scent-based Cancer Detection Technology,2020,B2B,11-50,Seed,$6.2M,", , , healthcare, cancer-diagnostics"
SPRING Vision,SPRING Vision Eye Examination Technology,2015,B2B,11-50,Pre-Funding,Undisclosed,", , , , , , medical-devices, eye-diseases"
Squalus Medical,Squalus Medical Epilepsy Laser Treatment,2019,B2B,1-10,Pre-Funding,$1M,", , , , , , treatments, healthcare-providers, doctors"
Staircase,Staircase ACQUIRED Customer Intelligence Platform,2021,B2B,11-50,Acquired,$4M,", , , , , data-analytics, customer-engagement"
Stampli,Stampli Cloud-based Interactive Invoice Management,2014,"B2B, B2G",201-500,D,$145M,", , , , , , , , , , , , , , , artificial-intelligence, natural-language-processing"
Stand3lone,Stand3lone 3D Printed Socket for Prosthetics,2020,B2B2C,1-10,Pre-Funding,$0,", , , , machine-learning, 3d-technology, disabilities"
Stat-Market,Stat-Market ACQUIRED Human-Machine AI Intelligence,2010,B2B2C,1-10,Acquired,Undisclosed,", , , , , , , , , , , predictive-marketing, customer-retention"
Stog,Stog Automated Aeroponics,2017,"B2B, B2C",1-10,Seed,$300K,", , , , , , , , , , smart-farming, urban-farming"
Stor.ai,"Stor.ai eCommerce, Fulfillment, and Delivery Software",2011,"B2B, B2B2C",51-200,A,$21.15M,", , , , , , , , , , , , , , , , , , , , , , logistics, artificial-intelligence"
Storee,Storee Data-driven Task Management Solution for Retailers,2016,B2B,11-50,Seed,$8M,", , , , , , , , , , , , , big-data, software-applications"
Strasa Technologies,Strasa Technologies High-altitude Pseudo-satellite for High-resolution Aerial Imagery,2022,"B2B, B2G",1-10,Pre-Funding,Undisclosed,", , , , space-tech, satellite-imagery"
Straterix,Straterix Risk Management Technologies,2015,B2B,11-50,Pre-Funding,Undisclosed,", , , , , , enterprise-solutions, insurance-companies"
STRIKECO,STRIKECO Sports Simulator Platform,2022,"B2B2C, B2C",1-10,Pre-Seed,$3M,", , , , , , , , sports-tech, sports, hardware"
StructShare Technologies,StructShare Technologies Digital Procurement Platform for Specialty Trade Contractors,2016,B2B,11-50,Seed,$8M,", , , , , , , construction, machine-learning"
Structure-Pal,Structure-Pal AI-based Concrete Design Optimization Solution,2020,B2B,1-10,Seed,$2.13M,", , , , , , , saas, software-applications, productivity"
StuffThatWorks,StuffThatWorks Platform for Treatment Optimization,2018,"B2B, B2C",11-50,Seed,$9M,", , , , , , , , , , , , , , deep-learning, crowdsourcing"
Styletech,Styletech AI-generated Models for Fashion Marketing,2021,B2B,1-10,Seed,$2.8M,", simulation, artificial-intelligence, fashion"
Supercreator.ai,Supercreator.ai AI-driven Video Creation,2019,"B2B, B2C",1-10,Seed,$1.17M,", , mobile-applications, artificial-intelligence"
Superfy,Superfy Solution for Getting Help on Any Subject,2015,B2C,11-50,Seed,$6.7M,", , , , , , , , , mobile-applications, social-platform"
Supersmart,Supersmart AI-powered Autonomous Checkout for Brick-and-mortar Retailers,2015,B2B,11-50,B,$20M,", , , , , , , , , , , artificial-intelligence, deep-learning"
Superwise.AI,Superwise.AI ACQUIRED Model Observability Platform for High-scale Production,2019,B2B,11-50,Acquired,$4.5M,", , , , , , , , , enterprise-solutions, big-data-analytics"
SupPlant,SupPlant Plant Sensing Technology,2015,B2B,51-200,C,$62.92M,", , , , , , , , , , , , , , , decision-support, big-data-analytics"
Supportomate,Supportomate Automated Sales and Customer Support Solution for Insurance Carriers,2019,B2B,1-10,Pre-Seed,Undisclosed,", , , , , customer-service, customer-engagement"
Surance.io,Surance.io Personal Insurance Solutions for IoT Assets,2017,B2B2C,1-10,A,$4M,", , , , , , , , , , , , , , threat-intelligence, cyber-security"
Surecomp,Surecomp Global Trade Finance Solutions for Banks and Corporations,1987,B2B,201-500,Mature,Undisclosed,", , , , , , , , , , , , financial-institutions, risk-management, back-office"
Surfsight AI,"Surfsight AI Video Telematics for Smart, Connected Fleets",2019,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , video, telematics, safety"
Suridata.ai,"Suridata.ai No-code SaaS Security, Visibility, and Control",2019,B2B,11-50,Seed,$11.1M,", , , , , , , , data-protection, artificial-intelligence"
Suspect Detection Systems,Suspect Detection Systems AI-based Human Pattern Recognition Technologies,2004,"B2B, B2G",1-10,Mature,Undisclosed,", , , , , , , , , , , , , security, prevention, traveltech"
Swapp,Swapp AI-driven Platform for Generating Construction Documents,2019,B2B,11-50,A,$18.5M,", , , , , , , , , , , , productivity, construction, bim"
Swathly,Swathly Sales Intelligence Software,2017,B2B,1-10,Seed,$650K,", , , , , , , , , data-analytics, sales-prediction"
Sweetch,Sweetch AI-Powered Hyper-Personalized Patient Engagement Platform,2013,B2B2C,51-200,A,$34M,", , , , , , , , , , , , , , , , , , , , , , patient-engagement, pharma-companies"
Swish.ai,"Swish.ai Swish AI revolutionizes IT operations with Agentic AI, delivering proactive intelligence, automation",2018,"B2B, B2G",11-50,Seed,$22.5M,", , , , , , , , , , , , , , , , , , , cross-platform, ai-process-optimization"
Symbolab,Symbolab ACQUIRED Semantic Search Engine for Math,2011,B2C,1-10,Acquired,$1.2M,", , , , , , , , , , , web-platform, higher-education"
Symetrify,Symetrify Wearable Training Device for Treatment of Chronic Low Back Pain,2022,B2B,1-10,Seed,$1M,", , , , , , , , , , , , non-invasive, chronic-pain"
Synaptiflora,Synaptiflora Revolutionizing Drug Development with Microbiome Insights,2024,"B2B, B2B2C, B2C",1-10,Pre-Funding,$0,", , , pharmaceuticals, artificial-intelligence"
SYNCLEO,SYNCLEO Home Appliance IoT Systems and Applications,2016,"B2B, B2B2C",11-50,Pre-Funding,Undisclosed,", , , , , , , , , software-applications, p2p, crm, real-time"
SYNERGYM.AI,SYNERGYM.AI Virtual Sports Psychologist,2022,B2B,1-10,Pre-Seed,$505K,", , , , wellness, mobile-applications, sports-tech"
Syte,Syte Visual AI Platform for Retail,2015,"B2B, B2B2C",51-200,C,$59.3M,", , , , , , , , , , , , , , , , , , , , retailers, deep-learning"
Tabnine,Tabnine AI-powered Code Completion Tool for Software Developers,2013,"B2B, B2C",51-200,B,$55.05M,", , , , , , natural-language-processing, plugin, productivity"
Taboola,Taboola Content Discovery Platform,2006,"B2B, B2B2C",500+,E,$160.5M,", , , , , , , , , , , , , , , , , , , , artificial-intelligence, mobile-applications"
Tachyonix,Tachyonix SAP Customization Apps based on AI Machine Learning,2019,"B2B, B2B2C, B2C",11-50,Pre-Funding,Undisclosed,", , , , , artificial-intelligence, enterprise-solutions"
Tagbox.io,Tagbox.io Creative Asset Collaboration,2020,"B2B, B2C",1-10,Pre-Seed,Undisclosed,", , , , , , , , , project-management, knowledge-technology"
Tailor Brands,Tailor Brands Online Platform for Brand Design,2013,"B2B, B2C",201-500,C,$74.4M,", , , , , smb, natural-language-processing"
TailorMed,TailorMed ACQUIRED End-to-end Financial Navigation Solution for Healthcare Providers,2016,B2B2C,51-200,Acquired,$60.5M,", , , , , , , , , , , , , , , , , , insurance-companies, insurtech, real-time"
Talamoos,Talamoos Prediction Platform Using Artificial Intelligence and Big Data,2015,B2B,1-10,Pre-Funding,$50K,", , , , , , , ai-process-optimization, big-data-analytics"
Taliaz,Taliaz Predictive Technology for Personalized Medication,2012,B2B,11-50,Mature,$3.2M,", , , , , , , , , , , , , , , , , , , laboratories, software-development"
TalkON,TalkON SaaS System for Helping Improve Speech Therapy Outcomes,2018,B2B,1-10,Pre-Funding,Undisclosed,", , , , , , , , , , , , , , personalization, monitoring, healthcare"
TalkSense,TalkSense Streamline CRM Updates with Voice,2014,"B2B, B2B2C",1-10,Mature,$200K,", , , , , , , , , , , , , , voice-recognition, natural-language-processing"
TalntQ,TalntQ AI-powered Platform for Talent Assessment,2018,"B2B, B2B2C, B2C",1-10,Pre-Funding,Undisclosed,", , , , job-search, real-time, big-data"
Tamlitz.li,Tamlitz.li Product Recommendation Platform for WooCommerce,2020,B2B,1-10,Pre-Funding,Undisclosed,", , , recommendations, online-retailers"
Tamnoon,Tamnoon Managed Cloud Detection and Response,2021,B2B,11-50,A,$17.1M,", , , cloud-security, risk-management"
Tandoo,Tandoo Online Learning Platform,2018,"B2B, B2B2C",1-10,Pre-Funding,Undisclosed,", , , , , , , , self-learning, higher-education"
TankU,TankU Computer Vision-based AI Solutions for Outdoor Retail,2014,"B2B, B2B2C",1-10,Seed,$8M,", , , , , , , , , , , , , , fintech, smart-mobility"
Taranis,Taranis AI-powered Crop Intelligence Solutions,2014,B2B,201-500,D,$99.55M,", , , , , , , , , , , , , , , , , deep-learning, mobile-applications"
Tarci,Tarci AI-powered B2B Lead Generator,2017,B2B,11-50,A,$17M,", , , , , , , sales, smb, natural-language-processing, real-time"
Tarya,Tarya PUBLIC Peer-to-peer Lending Platform,2014,"B2B, B2C",11-50,Public,$2.6M,", , , , , , , , , , , , , , , , personal-finance, financial-services"
Tasq Technologies,Tasq Technologies Labeling Solution for Visual Data,2019,B2B,11-50,Seed,$4M,", , , , , , computer-vision, drones, automotive"
Tastewise,Tastewise GenAI-powered Consumer Data Platform,2017,B2B,51-200,A,$21.5M,", , , , , , , , , , , , , , , , marketing, sales, consumers"
TaTiO,TaTiO Virtual Job Simulations,2019,B2B,11-50,Seed,$6.01M,", , , , , , , web-platform, engagement"
Teamogic,Teamogic AI-powered Teamwork Optimization for Contact Centers,2016,B2B,1-10,Pre-Funding,Undisclosed,", , , , management-solutions, contact-centers"
temi,temi Autonomous Personal Assistant Robot,2015,"B2B, B2B2C, B2C, B2G",51-200,C,$36M,", , , , , , , , , , , , , , hotels, retailers, iot"
Tensera Networks,Tensera Networks Mobile Latency Solution,2014,B2B,1-10,Mature,$82K,", , , , artificial-intelligence, mobile-applications"
TensorLeap,TensorLeap Deep-learning Development,2019,B2B,11-50,Seed,$5.2M,", , , , , data-analytics, deep-learning"
Terra Space Lab,Terra Space Lab Nanosatellite-based Global Environmental Monitoring System,2020,B2B,1-10,Seed,$2.6M,", , , , , , , machine-learning, satellites, infrared"
TestDynamics,TestDynamics AI-based Solutions for Medical Imaging and Diagnostics,2020,B2B,1-10,Seed,$3M,", , , , , , , laboratories, software-applications"
Testim,Testim ACQUIRED Test Automation Solution for Agile Teams,2014,B2B,11-50,Acquired,$18M,", , , , , , , , artificial-intelligence, mobile-applications"
Tevel Aerobotics Technologies,Tevel Aerobotics Technologies A.I.-driven fruit harvesting robots,2017,B2B,51-200,B,$35M,", , , , , , , , , , artificial-intelligence, autonomous-vehicles"
TeXperience,TeXperience AI Production Platform for Plant Based Cuts,2022,B2B,1-10,Seed,$1M,", , plant-protein, artificial-intelligence, foodtech"
